Feature,Importance
Team_Points_Roll,0.19995272
Opp_Points_Roll,0.18387587
FormDiff_Points,0.10008168
FairP_A,0.034094416
FormDiff_Cum,0.032068163
FairP_D,0.030263329
Fair Odds(A),0.03023492
ImpP_A,0.029742738
Team_CumScore,0.028189763
Fair Odds(H),0.025876375
ImpP_H,0.024887301
Fair Odds(D),0.02420136
FairP_H,0.024190461
Opp_CumScore,0.023415107
ImpP_D,0.02224614
Away Odds,0.02218395
Team_Risk_Roll,0.02197504
Opp_Risk_Roll,0.021719107
FormDiff_Risk,0.021271953
Opponent_TE,0.020480454
Team_TE,0.020276373
Bookmaker Margin,0.020234354
Draw Odds,0.020020617
Home Odds,0.018517846
