Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,29/08/2025,19:45,Cercle Brugge,St Truiden,,2.1,3.4,3.1,2.1,3.3,3.1,2.14,3.65,3.15,2.15,3.5,3.13,2.2,3.5,3.1,2.2,3.6,3.1,2.2,3.5,3.1,2.19,3.65,3.29,2.2,3.65,3.2,2.15,3.51,3.12,2.24,3.7,3.4,1.75,2.05,1.81,2.08,1.83,2.05,1.76,1.98,1.85,2.1,-0.25,1.85,1.95,1.91,1.99,1.91,1.95,1.81,1.91,1.93,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2025,15:00,Mechelen,RAAL La Louviere,,1.62,4,5,1.6,3.75,4.6,1.65,4.2,4.5,1.6,3.8,5,1.68,3.9,4.8,1.67,3.9,4.8,1.67,3.9,4.8,1.62,4.28,4.93,1.68,4.2,5,1.63,3.97,4.76,1.68,4.3,5.5,1.73,2.08,1.76,2.11,1.77,2.12,1.71,2.04,1.76,2.1,-0.75,1.8,2,1.79,2.07,1.84,2,1.8,1.92,1.85,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2025,17:15,Westerlo,Antwerp,,2.55,3.4,2.63,2.4,3.3,2.6,2.5,3.55,2.6,2.45,3.5,2.55,2.45,3.6,2.7,2.45,3.6,2.7,2.45,3.6,2.7,2.55,3.5,2.68,2.57,3.6,2.7,2.47,3.49,2.62,2.58,3.5,2.78,1.67,2.15,1.69,2.22,1.67,2.23,1.64,2.16,1.69,2.36,0,1.85,1.95,1.88,1.98,1.85,2,1.81,1.93,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2025,19:45,Charleroi,Dender,,1.7,3.6,4.75,1.67,3.5,4.5,1.74,3.9,4.3,1.7,3.6,4.5,1.8,3.7,4.4,1.8,3.7,4.4,1.8,3.6,4.33,1.77,3.56,4.81,1.8,3.9,4.75,1.73,3.68,4.44,1.74,3.8,5.6,1.9,1.9,1.91,1.94,1.9,1.92,1.84,1.87,1.94,1.91,-0.75,1.95,1.85,2.02,1.85,1.98,1.85,1.94,1.79,1.96,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,31/08/2025,12:30,Gent,Club Brugge,,5.5,3.9,1.57,5,4,1.53,4.8,4.3,1.6,5,4,1.57,5,4.2,1.62,5,4.2,1.61,4.8,4.2,1.61,5.15,4.19,1.61,5.5,4.3,1.62,4.98,4.12,1.59,5.4,4.4,1.09,1.65,2.2,1.67,2.23,1.65,2.33,1.59,2.24,1.67,1.43,1,1.8,2,1.83,2.04,1.83,2.02,1.78,1.97,1.74,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,31/08/2025,15:00,Oud-Heverlee Leuven,Standard,,2.2,3.2,3.25,2.15,3.1,3.1,2.25,3.5,3,2.15,3.25,3.13,2.2,3.4,3.2,2.2,3.4,3.2,2.2,3.4,3.2,2.27,3.26,3.32,2.25,3.5,3.25,2.2,3.33,3.12,2.22,3.2,3.7,2.05,1.75,2.05,1.8,2.05,1.76,2.01,1.74,2.1,1.76,-0.25,1.9,1.9,1.94,1.91,1.96,1.9,1.87,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,31/08/2025,17:30,St. Gilloise,Anderlecht,,1.6,4,5.25,1.57,3.75,5,1.61,3.95,5.2,1.55,3.9,5.25,1.63,3.9,5.25,1.65,3.9,5.25,1.61,3.9,5.25,1.58,3.95,5.92,1.65,4,6.33,1.6,3.88,5.27,1.61,4.2,5.8,1.8,2,1.78,2.06,1.8,2.01,1.76,1.97,1.66,2.08,-1,2.03,1.78,2,1.86,2.14,1.83,2.01,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,31/08/2025,18:15,Genk,Waregem,,1.4,5.5,6,1.36,4.6,6.5,1.34,5.5,7.5,1.36,4.75,7,1.41,5,6.75,1.4,5,6.5,1.4,5,6.5,1.4,4.99,6.99,1.41,5.5,7.5,1.37,5.05,6.83,1.45,5.3,7.6,1.48,2.6,1.54,2.5,1.52,2.7,1.47,2.54,1.54,2.6,-1.5,2.05,1.75,2.11,1.76,2.05,1.86,1.98,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,29/08/2025,19:30,Hamburg,St Pauli,,2.4,3.3,3,2.4,3.2,3,2.38,3.3,3.05,2.4,3.3,2.9,2.37,3.3,3,2.37,3.3,3,2.37,3.25,3,2.45,3.29,3.12,2.46,3.33,3.05,2.39,3.26,2.99,2.56,3.4,3.15,2,1.8,2.1,1.81,2.1,1.81,2.02,1.76,2.14,1.86,-0.25,2.05,1.8,2.14,1.81,2.05,1.81,1.96,1.78,2.08,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,30/08/2025,14:30,Hoffenheim,Ein Frankfurt,,2.88,3.75,2.25,2.8,3.75,2.3,2.9,3.9,2.2,2.7,3.7,2.2,2.85,3.8,2.25,2.87,3.8,2.25,2.8,3.75,2.25,2.95,3.84,2.3,2.9,3.9,2.3,2.84,3.76,2.24,3,3.9,2.4,1.5,2.63,1.5,2.67,1.5,2.7,1.47,2.58,1.52,2.82,0.25,1.85,2,1.88,2.03,1.86,2,1.84,1.87,1.89,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,30/08/2025,14:30,RB Leipzig,Heidenheim,,1.44,5,6.25,1.44,4.6,7,1.42,5,6.75,1.4,4.5,6,1.43,4.8,6.5,1.44,4.8,6.5,1.44,4.8,6.5,1.45,5.17,6.4,1.46,5,7,1.42,4.83,6.48,1.48,5.2,7,1.5,2.63,1.51,2.66,1.53,2.63,1.5,2.5,1.54,2.74,-1.25,1.93,1.93,1.92,1.99,1.95,1.93,1.85,1.9,2.02,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
