Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2023-07-28,Anderlecht,St. Gilloise,A,L,2.1,3.3,3.2,-0.25,1.88,1.98,1.88,1.98,2,0,0.09172077922077926,2.2926136363636367,3.602678571428571,3.493506493506494,0.0,0.0
2023-08-06,Anderlecht,Antwerp,H,W,2.55,3.4,2.63,0.0,1.93,1.93,1.8,2.0,1,0,0.06650264668605077,2.719581749049429,3.6261089987325725,2.8049019607843135,-0.2862453531598513,-0.2862453531598513
2023-08-13,Anderlecht,St Truiden,A,W,3.2,3.4,2.05,0.25,1.98,1.88,2.0,1.85,0,1,0.09442252510760407,3.502152080344333,3.721036585365854,2.2435661764705883,0.6322963998601887,0.34605104670033743
2023-08-20,Anderlecht,Westerlo,H,W,1.83,3.75,4.0,-0.5,1.88,1.98,1.65,2.2,2,1,0.06311475409836054,1.9454999999999998,3.986680327868852,4.252459016393442,0.5542810323637853,0.9003320790641227
2023-08-27,Anderlecht,Charleroi,H,W,1.75,3.75,4.5,-0.75,2.0,1.85,1.73,2.08,2,1,0.0603174603174601,1.8555555555555554,3.9761904761904754,4.7714285714285705,0.4859933179131328,1.3863253969772558
2023-09-03,Anderlecht,Genk,A,D,1.91,3.6,3.8,-0.5,1.93,1.93,1.65,2.2,1,1,0.06449588193870359,2.0331871345029238,3.8321851749793328,4.045084351367074,0.4610778443113772,1.847403241288633
2023-09-17,Anderlecht,Kortrijk,A,D,4.5,4.0,1.7,0.75,1.98,1.88,1.6,2.3,2,2,0.06045751633986929,4.772058823529412,4.241830065359477,1.8027777777777776,-0.24721363342201766,1.6001896078666151
2023-09-24,Anderlecht,Club Brugge,H,D,3.1,3.6,2.15,0.25,1.9,1.95,1.65,2.2,1,1,0.06547470200883554,3.3029715762273906,3.8357089272318077,2.2907706093189963,-0.5546995377503853,1.04549007011623
2023-09-30,Anderlecht,Eupen,A,W,4.2,4.0,1.73,0.75,1.9,1.95,1.67,2.15,1,3,0.06612992017616293,4.477745664739884,4.264519680704652,1.8444047619047617,-0.30275767651085467,0.7427323936053754
2023-10-07,Anderlecht,Mechelen,H,W,1.73,4.0,4.2,-0.75,1.95,1.9,1.62,2.25,3,1,0.06612992017616293,1.8444047619047617,4.264519680704652,4.477745664739884,0.457819660491835,1.2005520540972103
2023-10-22,Anderlecht,Standard,A,L,3.0,3.4,2.25,0.25,1.85,2.0,1.85,2.0,3,2,0.07189542483660127,3.215686274509804,3.6444444444444444,2.4117647058823533,0.457819660491835,1.6583717145890453
2023-10-28,Anderlecht,Oud-Heverlee Leuven,H,W,1.53,4.33,5.5,-1.0,1.8,2.05,1.53,2.4,5,1,0.06635983527710199,1.631530547973966,4.617338086749852,5.864979094024061,-0.41463414634146334,1.243737568247582
2023-11-05,Anderlecht,Cercle Brugge,A,W,2.4,3.5,2.75,0.0,1.83,2.03,1.73,2.08,0,3,0.06601731601731586,2.558441558441558,3.731060606060606,2.9315476190476186,0.38707859240404685,1.6308161606516287
2023-11-12,Anderlecht,Gent,A,D,2.15,3.6,3.2,-0.25,1.9,1.95,1.67,2.15,1,1,0.05539405684754528,2.2690972222222223,3.799418604651163,3.377260981912145,0.6588832487309644,2.2896994093825933
2023-11-26,Anderlecht,RWD Molenbeek,H,W,1.4,5.0,7.0,-1.25,1.85,2.0,1.6,2.3,2,1,0.05714285714285716,1.48,5.285714285714286,7.400000000000001,-0.29609793420045905,1.993601475182134
2023-12-01,Anderlecht,Westerlo,A,W,4.75,4.0,1.7,0.75,1.95,1.9,1.73,2.08,1,3,0.04876160990712064,4.981617647058823,4.195046439628483,1.782894736842105,0.32432432432432434,2.317925799506458
2023-12-10,Anderlecht,Standard,H,D,1.57,4.0,5.5,-1.0,1.95,1.9,1.65,2.2,2,2,0.0687608569774174,1.6779545454545455,4.27504342790967,5.878184713375796,0.4391143911439114,2.7570401906503696
2023-12-17,Anderlecht,Antwerp,A,D,1.91,3.5,3.8,-0.5,1.95,1.9,1.9,1.95,1,1,0.0724323898752115,2.048345864661654,3.7535133645632404,4.075243081525804,-0.5959637003927942,2.1610764902575754
2023-12-23,Anderlecht,Genk,H,W,2.25,3.5,3.1,-0.25,2.0,1.85,1.67,2.15,2,1,0.05273937532002049,2.3686635944700463,3.684587813620072,3.263492063492064,-0.24538413537422454,1.915692354883351
2023-12-27,Anderlecht,Cercle Brugge,H,W,1.8,3.8,4.0,-0.5,1.83,2.03,1.7,2.1,2,0,0.06871345029239762,1.9236842105263157,4.061111111111111,4.2748538011695905,0.5778210116731518,2.4935133665565026
2024-01-21,Anderlecht,Oud-Heverlee Leuven,A,D,4.75,3.6,1.7,0.75,1.98,1.88,1.6,2.3,1,1,0.07653938768489854,5.113562091503268,3.8755417956656344,1.8301169590643274,0.48016415868673046,2.9736775252432333
2024-01-28,Anderlecht,St. Gilloise,H,D,3.1,3.5,2.1,0.25,1.98,1.88,1.83,2.03,2,2,0.08448540706605234,3.361904761904762,3.795698924731184,2.27741935483871,-0.546413165042339,2.427264360200894
2024-02-01,Anderlecht,Mechelen,A,D,3.25,3.5,2.15,0.25,1.98,1.88,1.98,1.88,2,2,0.0585228724763609,3.440199335548173,3.7048300536672634,2.2758241758241757,-0.29745042492917845,2.1298139352717156
2024-02-04,Anderlecht,Gent,H,W,2.2,3.5,3.0,-0.25,1.95,1.9,1.83,2.03,1,0,0.07359307359307343,2.3619047619047615,3.757575757575757,3.220779220779221,-0.4394012554321584,1.6904126798395573
2024-02-11,Anderlecht,Charleroi,A,W,3.75,3.4,2.0,0.25,2.05,1.75,1.9,1.95,1,3,0.0607843137254902,3.977941176470588,3.6066666666666665,2.1215686274509804,0.5766129032258064,2.267025583065364
2024-02-18,Anderlecht,St Truiden,H,W,1.62,3.75,5.75,-0.75,1.8,2.05,1.85,2.0,4,1,0.05786366076221139,1.7137391304347827,3.966988727858293,6.082716049382715,0.5286506469500925,2.7956762300154563
2024-02-25,Anderlecht,Club Brugge,A,W,1.67,3.75,5.0,-0.75,1.93,1.93,1.67,2.15,1,2,0.06546906187624746,1.779333333333333,3.9955089820359277,5.327345309381237,0.4164806170083215,3.2121568470237776
2024-03-03,Anderlecht,Eupen,H,W,1.3,5.25,8.5,-1.5,1.85,2.0,1.57,2.35,1,0,0.07735401853048907,1.400560224089636,5.656108597285067,9.157509157509157,0.8122892469089547,4.024446093932732
2024-03-09,Anderlecht,RWD Molenbeek,A,W,5.75,4.2,1.53,1.0,1.98,1.88,1.7,2.1,0,3,0.06560305281532908,6.127217553688142,4.475532821824383,1.6303726708074535,0.28600000000000003,4.3104460939327325
2024-03-16,Anderlecht,Kortrijk,H,L,1.25,5.5,10.0,-1.75,1.93,1.93,1.48,2.6,0,1,0.08181818181818201,1.3522727272727275,5.95,10.81818181818182,0.38664330069716946,4.697089394629902
2024-03-30,Anderlecht,Antwerp,H,W,2.3,3.4,3.0,-0.25,2.03,1.83,1.8,2.0,1,0,0.06223358908780896,2.4431372549019605,3.61159420289855,3.186700767263427,-0.7394957983193275,3.9575935963105744
