Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2024-08-03,Braunschweig,Schalke 04,A,L,1.75,3.5,4.75,-0.75,2.0,1.85,1.85,2.0,5,1,0.06766917293233066,1.8684210526315788,3.7368421052631575,5.071428571428571,0.0,0.0
2024-08-11,Braunschweig,Magdeburg,H,L,2.55,3.3,2.7,0.0,1.9,1.95,1.9,1.95,1,3,0.06555753614577142,2.7171717171717167,3.5163398692810452,2.877005347593583,-0.1971830985915493,-0.1971830985915493
2024-08-24,Braunschweig,FC Koln,A,L,1.48,4.5,6.0,-1.25,2.03,1.83,1.48,2.6,5,0,0.0645645645645645,1.5755555555555556,4.79054054054054,6.387387387387387,-0.36802973977695175,-0.5652128383685011
2024-09-01,Braunschweig,Karlsruhe,H,L,3.4,3.9,1.95,0.5,1.85,2.0,1.5,2.5,1,2,0.06334841628959298,3.615384615384616,4.147058823529412,2.073529411764706,-0.15655853314527504,-0.7217713715137761
2024-09-14,Braunschweig,Darmstadt,A,D,1.8,3.9,4.1,-0.75,2.03,1.83,1.62,2.25,1,1,0.055868250990202206,1.9005628517823638,4.117886178861788,4.329059829059829,-0.276595744680851,-0.9983671161946271
2024-09-21,Braunschweig,Greuther Furth,H,W,2.88,3.6,2.3,0.25,1.8,2.05,1.6,2.3,2,0,0.05978260869565233,3.0521739130434784,3.815217391304348,2.4375,-0.23099703849950642,-1.2293641546941336
2024-09-27,Braunschweig,Ulm,A,L,2.38,3.3,2.9,-0.25,2.04,1.72,1.93,1.93,3,1,0.06802595646409038,2.541901776384535,3.524485656331498,3.0972752737458618,0.6723646723646723,-0.5569994823294613
2024-10-06,Braunschweig,Hannover,H,W,3.1,3.5,2.2,0.25,1.93,1.93,1.73,2.08,2,0,0.06284038542103065,3.294805194805195,3.7199413489736073,2.3382488479262675,-0.3228644248951739,-0.8798639072246353
2024-10-18,Braunschweig,Hertha,A,L,1.85,3.9,3.7,-0.5,1.84,1.89,1.53,2.4,3,1,0.06722106722106713,1.9743589743589747,4.162162162162161,3.9487179487179493,0.696491919590067,-0.1833719876345683
2024-10-27,Braunschweig,Preußen Münster,H,D,2.05,3.4,3.5,-0.25,1.8,2.05,1.65,2.2,1,1,0.06763681082188988,2.188655462184874,3.6299651567944258,3.736728837876615,-0.2532467532467532,-0.4366187408813215
2024-11-03,Braunschweig,Paderborn,A,D,1.67,4.0,4.75,-0.75,1.88,1.98,1.57,2.35,0,0,0.05932871099905457,1.7690789473684208,4.237314843996218,5.03181137724551,-0.4569015166058744,-0.8935202574871959
2024-11-08,Braunschweig,Hamburg,H,W,3.1,3.5,2.2,0.25,1.9,1.95,1.6,2.3,3,1,0.06284038542103065,3.294805194805195,3.7199413489736073,2.3382488479262675,-0.19873558943845293,-1.092255846925649
2024-11-24,Braunschweig,Kaiserslautern,A,L,2.15,3.4,3.3,-0.25,1.88,1.98,1.7,2.1,3,2,0.06226422915889396,2.283868092691622,3.6116983791402393,3.50547195622435,0.696491919590067,-0.39576392733558197
2024-11-30,Braunschweig,Regensburg,H,D,1.62,4.0,5.0,-0.75,1.8,2.05,1.75,2.05,0,0,0.06728395061728398,1.729,4.269135802469136,5.33641975308642,-0.28526829268292686,-0.6810322200185088
2024-12-08,Braunschweig,Fortuna Dusseldorf,A,L,1.75,3.6,4.5,-0.75,2.0,1.85,1.83,2.03,5,0,0.0714285714285714,1.875,3.8571428571428563,4.821428571428571,-0.578368999421631,-1.2594012194401398
2024-12-15,Braunschweig,Elversberg,H,L,2.9,3.5,2.3,0.25,1.8,2.05,1.73,2.08,0,3,0.06532448061683449,3.0894409937888194,3.7286356821589206,2.450246305418719,-0.20740740740740743,-1.4668086268475473
2024-12-21,Braunschweig,Nurnberg,A,L,1.8,3.8,4.2,-0.75,2.03,1.78,1.67,2.15,1,0,0.05680868838763575,1.902255639097744,4.015873015873016,4.43859649122807,-0.3236831523924407,-1.790491779239988
2025-01-18,Braunschweig,Schalke 04,H,D,2.9,3.9,2.1,0.25,1.93,1.93,1.65,2.2,0,0,0.07742831880762902,3.1245421245421237,4.201970443349753,2.262599469496021,-0.22529644268774704,-2.015788221927735
2025-01-24,Braunschweig,Magdeburg,A,D,1.55,4.33,5.5,-1.0,1.88,1.98,1.57,2.35,1,1,0.05792635435785254,1.6397858492546715,4.580821114369502,5.818594948968189,-0.3200468933177023,-2.3358351152454375
2025-02-01,Braunschweig,FC Koln,H,L,4.5,4.0,1.67,0.75,2.0,1.85,1.73,2.08,1,2,0.071024617431803,4.819610778443114,4.284098469727212,1.7886111111111107,-0.17186279656351228,-2.5076979118089495
2025-02-09,Braunschweig,Karlsruhe,A,W,1.8,4.33,3.75,-0.75,2.03,1.83,1.65,2.2,0,2,0.05316910443931233,1.895704387990762,4.560222222222222,3.949384141647421,-0.20748563441528184,-2.7151835462242313
2025-02-15,Braunschweig,Darmstadt,H,W,2.9,3.6,2.25,0.25,1.85,2.0,1.73,2.08,1,0,0.06704980842911867,3.094444444444444,3.841379310344827,2.4008620689655173,0.7467959651089129,-1.9683875811153184
2025-02-23,Braunschweig,Greuther Furth,A,L,2.15,3.4,3.25,-0.25,1.88,1.98,1.8,2.0,3,0,0.06692623382089868,2.2938914027149324,3.6275491949910554,3.4675102599179204,0.6768402154398563,-1.2915473656754624
2025-03-01,Braunschweig,Ulm,H,D,2.4,3.3,2.9,-0.25,2.1,1.78,2.05,1.75,1,1,0.0645245559038663,2.5548589341692787,3.5129310344827585,3.087121212121212,-0.2883913600946839,-1.579938725770146
2025-03-09,Braunschweig,Hannover,A,D,1.67,4.0,4.75,-0.75,1.85,2.0,1.75,2.05,1,1,0.05932871099905457,1.7690789473684208,4.237314843996218,5.03181137724551,-0.39141104294478535,-1.9713497687149315
2025-03-16,Braunschweig,Hertha,H,L,3.2,3.5,2.15,0.25,1.93,1.93,1.75,2.05,1,5,0.06333056478405319,3.40265780730897,3.7216569767441867,2.2861607142857143,-0.19873558943845293,-2.1700853581533845
2025-03-30,Braunschweig,Preußen Münster,A,D,2.25,3.2,3.2,-0.25,1.98,1.88,2.1,1.7,1,1,0.06944444444444442,2.40625,3.4222222222222225,3.4222222222222225,-0.2938879125170865,-2.463973270670471
2025-04-04,Braunschweig,Paderborn,H,W,4.2,3.8,1.8,0.75,1.83,2.03,1.67,2.15,3,2,0.05680868838763575,4.43859649122807,4.015873015873016,1.902255639097744,-0.2922077922077922,-2.7561810628782633
2025-04-11,Braunschweig,Hamburg,A,W,1.4,4.75,7.0,-1.5,2.03,1.78,1.4,2.88,2,4,0.06766917293233088,1.4947368421052631,5.071428571428572,7.473684210526317,0.7747035573122529,-1.9814775055660103
2025-04-19,Braunschweig,Kaiserslautern,H,W,2.63,3.4,2.55,0.0,1.98,1.88,1.67,2.15,2,0,0.06650264668605077,2.8049019607843135,3.6261089987325725,2.719581749049429,0.8661971830985915,-1.1152803224674188
2025-04-26,Braunschweig,Regensburg,A,D,2.9,3.5,2.3,0.25,1.8,2.05,1.98,1.88,1,1,0.06532448061683449,3.0894409937888194,3.7286356821589206,2.450246305418719,0.6434813002446697,-0.47179902222274905
2025-05-03,Braunschweig,Fortuna Dusseldorf,H,D,2.75,3.4,2.45,0.25,1.73,2.08,1.65,2.2,2,2,0.06591727600130959,2.9312725090036014,3.6241187384044524,2.611497326203209,-0.4081222356252513,-0.8799212578480003
2025-05-10,Braunschweig,Elversberg,A,L,1.5,4.75,5.25,-1.0,1.83,2.03,1.53,2.4,3,0,0.06766917293233066,1.6015037593984962,5.071428571428571,5.605263157894736,-0.3411487662537115,-1.2210700241017118
2025-05-18,Braunschweig,Nurnberg,H,L,1.7,4.1,4.33,-0.75,1.85,1.95,1.5,2.5,1,4,0.06308461535912735,1.8072438461105165,4.358646922972422,4.603156384505022,-0.17840375586854462,-1.3994737799702563
2024-08-04,Darmstadt,Fortuna Dusseldorf,H,L,2.88,3.4,2.38,0.25,1.78,2.1,1.7,2.1,0,2,0.06150793650793651,3.0571428571428574,3.6091269841269837,2.526388888888889,0.0,0.0
2024-08-11,Darmstadt,Paderborn,A,L,1.85,3.9,3.75,-0.5,1.88,1.98,1.62,2.25,3,1,0.06361746361746357,1.967692307692308,4.148108108108107,3.9885654885654884,-0.32710280373831774,-0.32710280373831774
