Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2023-08-05,Aldershot,Oxford City,H,W,2.0,3.5,3.6,-0.5,2.05,1.75,1.67,2.15,5,2,0.06349206349206349,2.126984126984127,3.7222222222222223,3.8285714285714283,0.0,0.0
2023-08-12,Aldershot,Oldham,A,L,1.95,3.4,3.8,-0.5,1.98,1.83,1.9,1.9,5,1,0.0700960546161784,2.0866873065015477,3.6383265856950064,4.066365007541478,0.5298507462686567,0.5298507462686567
2023-08-15,Aldershot,Ebbsfleet,A,L,1.95,3.5,3.5,-0.5,1.98,1.83,1.73,2.08,2,0,0.0842490842490844,2.1142857142857143,3.794871794871795,3.794871794871795,-0.245919881305638,0.28393086496301867
2023-08-19,Aldershot,York,H,D,2.38,3.5,2.6,0.0,1.78,2.03,1.83,1.98,1,1,0.09049773755656099,2.5953846153846154,3.8167420814479636,2.8352941176470585,-0.2635135135135135,0.020417351449505183
2023-08-26,Aldershot,Wealdstone,H,W,2.25,3.5,3.0,-0.25,2.0,1.8,1.78,2.03,3,1,0.06349206349206349,2.392857142857143,3.7222222222222223,3.1904761904761907,-0.38529934795494963,-0.36488199650544445
2023-08-28,Aldershot,Eastleigh,A,L,2.45,3.4,2.8,-0.25,2.08,1.73,1.83,1.98,3,0,0.05942376950780304,2.5955882352941178,3.6020408163265305,2.966386554621849,0.582089552238806,0.21720755573336153
2023-09-02,Aldershot,Chesterfield,H,L,4.0,3.75,1.67,0.75,1.9,1.9,1.6,2.3,3,4,0.1154690618762475,4.46187624750499,4.183008982035928,1.8628333333333331,-0.3371104815864023,-0.11990292585304074
2023-09-09,Aldershot,Fylde,A,W,1.85,3.5,3.6,-0.5,1.9,1.9,1.57,2.35,0,2,0.10403260403260406,2.0424603174603178,3.864114114114114,3.9745173745173745,-0.22412096269124093,-0.3440238885442817
2023-09-16,Aldershot,Gateshead,H,D,3.3,3.5,2.05,0.25,2.03,1.78,1.57,2.35,1,1,0.07654946679336927,3.5526132404181183,3.7679231337767924,2.2069264069264065,0.7483971245385661,0.40437323599428443
2023-09-19,Aldershot,Barnet,A,L,1.65,4.0,4.75,-1.0,2.05,1.75,1.65,2.2,2,1,0.06658692185007986,1.7598684210526319,4.266347687400319,5.066287878787879,-0.28148293448411144,0.122890301510173
