Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2025-08-23,Augsburg,Freiburg,A,W,1.85,3.6,4.33,0.04926520053540839,1.9411406209905058,3.77735472192747,4.543318318318319,0.0,0.0
2025-08-22,Bayern Munich,RB Leipzig,H,W,1.22,7.0,9.0,0.07364038511579496,1.3098412698412698,7.515482695810565,9.662763466042156,0.0,0.0
2025-08-23,Dortmund,St Pauli,A,D,4.5,3.9,1.75,0.050061050061050105,4.725274725274725,4.095238095238095,1.837606837606838,0.0,0.0
2025-08-23,Ein Frankfurt,Werder Bremen,H,W,1.7,4.1,4.5,0.05435995536425953,1.792411924119241,4.322875816993464,4.744619799139168,0.0,0.0
2025-08-24,FC Koln,Mainz,A,W,1.9,3.7,4.0,0.04658605974395447,1.9885135135135137,3.8723684210526326,4.186344238975818,0.0,0.0
2025-08-23,Freiburg,Augsburg,H,L,1.85,3.6,4.33,0.04926520053540839,1.9411406209905058,3.77735472192747,4.543318318318319,0.0,0.0
2025-08-24,Hamburg,M'gladbach,A,D,1.85,3.9,3.9,0.053361053361053346,1.948717948717949,4.108108108108108,4.108108108108108,0.0,0.0
2025-08-23,Heidenheim,Wolfsburg,H,L,3.2,3.5,2.2,0.05275974025974017,3.3688311688311683,3.684659090909091,2.3160714285714286,0.0,0.0
2025-08-23,Hoffenheim,Leverkusen,A,W,1.53,4.75,5.25,0.0545972775074941,1.613533834586466,5.009337068160597,5.536635706914344,0.0,0.0
2025-08-23,Leverkusen,Hoffenheim,H,L,1.53,4.75,5.25,0.0545972775074941,1.613533834586466,5.009337068160597,5.536635706914344,0.0,0.0
2025-08-24,M'gladbach,Hamburg,H,D,1.85,3.9,3.9,0.053361053361053346,1.948717948717949,4.108108108108108,4.108108108108108,0.0,0.0
2025-08-24,Mainz,FC Koln,H,L,1.9,3.7,4.0,0.04658605974395447,1.9885135135135137,3.8723684210526326,4.186344238975818,0.0,0.0
2025-08-22,RB Leipzig,Bayern Munich,A,L,1.22,7.0,9.0,0.07364038511579496,1.3098412698412698,7.515482695810565,9.662763466042156,0.0,0.0
2025-08-23,St Pauli,Dortmund,H,D,4.5,3.9,1.75,0.050061050061050105,4.725274725274725,4.095238095238095,1.837606837606838,0.0,0.0
2025-08-23,Stuttgart,Union Berlin,A,L,3.4,3.7,2.05,0.052192795377874246,3.5774555042847727,3.893113342898135,2.156995230524642,0.0,0.0
2025-08-23,Union Berlin,Stuttgart,H,W,3.4,3.7,2.05,0.052192795377874246,3.5774555042847727,3.893113342898135,2.156995230524642,0.0,0.0
2025-08-23,Werder Bremen,Ein Frankfurt,A,L,1.7,4.1,4.5,0.05435995536425953,1.792411924119241,4.322875816993464,4.744619799139168,0.0,0.0
2025-08-23,Wolfsburg,Heidenheim,A,W,3.2,3.5,2.2,0.05275974025974017,3.3688311688311683,3.684659090909091,2.3160714285714286,0.0,0.0
