Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2025-08-02,Bielefeld,Fortuna Dusseldorf,H,W,2.3,3.6,2.88,-0.25,2.0,1.8,1.65,2.2,5,1,0.05978260869565233,2.4375,3.815217391304348,3.0521739130434784,0.0,0.0
2025-08-10,Bielefeld,Holstein Kiel,A,W,2.15,3.6,3.1,-0.25,1.9,1.9,1.62,2.25,0,2,0.06547470200883554,2.2907706093189963,3.8357089272318077,3.3029715762273906,0.5897435897435898,0.5897435897435898
2025-08-24,Bielefeld,Dresden,H,L,1.9,3.3,4.2,-0.5,1.9,1.9,1.73,2.08,1,2,0.06744133059922541,2.0281385281385282,3.5225563909774436,4.483253588516747,0.6972423234891454,1.2869859132327353
2025-08-30,Bielefeld,Braunschweig,A,D,2.8,3.6,2.3,0.25,1.8,2.0,1.7,2.1,1,1,0.06970324361628721,2.995169082125604,3.850931677018634,2.4603174603174605,-0.49306296691568835,0.7939229463170467
2025-08-02,Bochum,Darmstadt,A,L,2.2,3.6,3.0,-0.25,1.95,1.85,1.58,2.25,4,1,0.06565656565656552,2.3444444444444446,3.836363636363636,3.196969696969697,0.0,0.0
2025-08-10,Bochum,Elversberg,H,W,1.95,3.8,3.5,-0.5,1.95,1.85,1.67,2.15,2,0,0.06169269327164084,2.0703007518796994,4.034432234432235,3.715924426450743,-0.3127962085308057,-0.3127962085308057
2025-08-23,Bochum,Schalke 04,A,L,2.4,3.6,2.75,0.0,1.78,2.03,1.73,2.08,2,1,0.058080808080807955,2.539393939393939,3.809090909090908,2.909722222222222,0.516978391138551,0.20418218260774534
2025-08-30,Bochum,Preußen Münster,H,L,2.0,3.6,3.5,-0.5,1.98,1.83,1.83,1.98,1,2,0.06349206349206349,2.126984126984127,3.8285714285714283,3.7222222222222223,-0.3436754176610979,-0.13949323505335254
2025-08-03,Braunschweig,Magdeburg,A,W,1.8,3.8,4.0,-0.5,1.83,1.98,1.7,2.1,0,1,0.06871345029239762,1.9236842105263157,4.061111111111111,4.2748538011695905,0.0,0.0
2025-08-09,Braunschweig,Greuther Furth,H,W,2.35,3.3,3.0,-0.25,2.0,1.8,1.85,1.95,3,2,0.061895551257253434,2.4954545454545456,3.5042553191489367,3.1856866537717603,0.7660738714090287,0.7660738714090287
2025-08-23,Braunschweig,Karlsruhe,A,L,1.85,3.8,3.9,-0.5,1.83,1.98,1.67,2.15,2,0,0.06010869168763899,1.9612010796221324,4.028413028413028,4.134423897581792,0.5992714025500911,1.3653452739591199
2025-08-30,Braunschweig,Bielefeld,H,D,2.8,3.6,2.3,0.25,1.8,2.0,1.7,2.1,1,1,0.06970324361628721,2.995169082125604,3.850931677018634,2.4603174603174605,-0.2418716669533804,1.1234736070057394
2025-08-02,Darmstadt,Bochum,H,W,2.2,3.6,3.0,-0.25,1.95,1.85,1.58,2.25,4,1,0.06565656565656552,2.3444444444444446,3.836363636363636,3.196969696969697,0.0,0.0
2025-08-08,Darmstadt,Nurnberg,A,W,2.88,3.7,2.25,0.25,1.83,1.98,1.62,2.25,0,1,0.061936936936936915,3.0583783783783782,3.929166666666667,2.389358108108108,0.5734597156398105,0.5734597156398105
2025-08-24,Darmstadt,Hertha,H,D,2.1,3.3,3.6,-0.25,1.8,2.0,1.6,2.3,0,0,0.05699855699855716,2.21969696969697,3.488095238095238,3.8051948051948057,0.5814775539059738,1.1549372695457842
2025-08-31,Darmstadt,Kaiserslautern,A,L,2.6,3.3,2.63,0.0,1.85,1.95,1.67,2.15,3,1,0.06787382452781676,2.7764719437723238,3.5239836209417956,2.808508158508158,-0.4505119453924914,0.7044253241532928
2025-08-03,Dresden,Greuther Furth,A,L,2.2,3.7,2.9,-0.25,1.95,1.85,1.6,2.3,3,2,0.06964331102262133,2.353215284249767,3.9576802507837,3.1019656019656017,0.0,0.0
2025-08-09,Dresden,Magdeburg,H,L,2.45,3.6,2.63,0.0,1.85,1.95,1.6,2.3,1,2,0.06616917996602956,2.6121144909167726,3.8382090478777067,2.8040249433106577,-0.3223762376237624,-0.3223762376237624
2025-08-24,Dresden,Bielefeld,A,W,1.9,3.3,4.2,-0.5,1.9,1.9,1.73,2.08,1,2,0.06744133059922541,2.0281385281385282,3.5225563909774436,4.483253588516747,-0.3828316115075915,-0.7052078491313538
2025-08-31,Dresden,Schalke 04,H,L,2.38,3.5,2.8,0.0,1.73,2.08,1.7,2.1,0,1,0.06302521008403361,2.5300000000000002,3.7205882352941178,2.976470588235294,0.7769477054429029,0.071739856311549
2025-08-02,Elversberg,Nurnberg,H,W,2.1,3.8,3.1,-0.25,1.85,1.95,1.53,2.4,1,0,0.06192901608860857,2.230050933786078,4.035330261136713,3.291979949874687,0.0,0.0
2025-08-10,Elversberg,Bochum,A,L,1.95,3.8,3.5,-0.5,1.95,1.85,1.67,2.15,2,0,0.06169269327164084,2.0703007518796994,4.034432234432235,3.715924426450743,0.5515797487628473,0.5515797487628473
2025-08-22,Elversberg,Kaiserslautern,H,W,1.95,3.6,3.6,-0.5,1.95,1.85,1.83,1.98,2,1,0.06837606837606858,2.0833333333333335,3.8461538461538467,3.8461538461538467,-0.2691120392228073,0.28246770954004
2025-08-29,Elversberg,Hertha,A,W,2.2,3.4,3.2,-0.25,1.9,1.9,1.7,2.1,0,2,0.06116310160427796,2.3345588235294117,3.607954545454545,3.3957219251336896,0.52,0.8024677095400401
2025-08-02,Fortuna Dusseldorf,Bielefeld,A,L,2.3,3.6,2.88,-0.25,2.0,1.8,1.65,2.2,5,1,0.05978260869565233,2.4375,3.815217391304348,3.0521739130434784,0.0,0.0
