Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2024-08-17,Arsenal,Wolves,H,W,1.18,7.5,13.0,-2.0,1.93,2.0,1.44,2.75,2,0,0.05771403737505443,1.248102564102564,7.932855280312909,13.750282485875708,0.0,0.0
2024-08-24,Arsenal,Aston Villa,A,W,4.33,3.8,1.75,0.75,1.9,2.0,1.73,2.1,0,2,0.06553334838250358,4.61375939849624,4.049026723853514,1.8646833596693815,0.1987837948886515,0.1987837948886515
2024-08-31,Arsenal,Brighton,H,D,1.33,5.5,8.5,-1.5,2.01,1.89,1.53,2.5,1,1,0.051344939889831576,1.398288770053476,5.782397169394073,8.93643198906357,0.4637159200169484,0.6624997149055999
2024-09-15,Arsenal,Tottenham,A,W,3.0,3.5,2.3,0.25,1.88,2.02,1.57,2.38,0,1,0.0538302277432714,3.1614906832298146,3.6884057971014497,2.423809523809524,-0.7151598592626587,-0.05266014435705879
2024-09-22,Arsenal,Man City,A,D,1.8,3.6,4.5,-0.75,2.07,1.83,2.04,1.86,2,2,0.05555555555555558,1.9000000000000001,3.8000000000000003,4.75,0.587426326129666,0.5347661817726073
2024-09-28,Arsenal,Leicester,H,W,1.17,8.0,15.0,-2.0,1.98,1.92,1.5,2.63,4,2,0.046367521367521425,1.2242499999999998,8.370940170940171,15.695512820512823,-0.21052631578947367,0.3242398659831336
2024-10-05,Arsenal,Southampton,H,W,1.14,9.0,17.0,-2.25,1.89,2.01,1.36,3.2,3,1,0.04712762297901629,1.1937254901960785,9.424148606811148,17.801169590643276,0.18317337145190926,0.5074132374350429
2024-10-19,Arsenal,Bournemouth,A,L,5.0,3.9,1.65,0.75,2.04,1.86,1.73,2.1,2,0,0.06247086247086253,5.312354312354312,4.143636363636364,1.753076923076923,0.1622864651773982,0.669699702612441
2024-10-27,Arsenal,Liverpool,H,D,2.5,3.25,2.9,0.0,1.82,2.08,1.92,1.98,2,2,0.052519893899204195,2.6312997347480103,3.4206896551724135,3.0523076923076924,-0.5704256252742431,0.09927407733819793
2024-11-02,Arsenal,Newcastle,A,L,3.75,3.75,1.95,0.5,1.92,1.98,1.84,2.06,1,0,0.04615384615384621,3.9230769230769234,3.9230769230769234,2.04,-0.3800403225806452,-0.28076624524244725
2024-11-10,Arsenal,Chelsea,A,D,2.7,3.4,2.55,0.0,2.02,1.88,1.73,2.1,1,1,0.056644880174292034,2.8529411764705883,3.5925925925925926,2.694444444444444,-0.49019607843137253,-0.7709623236738198
2024-11-23,Arsenal,Nott'm Forest,H,W,1.38,4.75,9.0,-1.25,1.87,2.03,1.8,2.0,3,0,0.04627510806000523,1.443859649122807,4.969806763285025,9.416475972540049,-0.3711340206185567,-1.1420963442923764
2024-11-30,Arsenal,West Ham,A,W,7.0,4.5,1.45,1.25,1.87,2.03,1.73,2.1,2,5,0.054734537493158264,7.383141762452108,4.746305418719213,1.5293650793650795,0.307411907654921,-0.8346844366374555
2024-12-04,Arsenal,Man United,H,W,1.44,4.5,7.0,-1.25,2.01,1.89,1.62,2.3,2,0,0.059523809523809534,1.5257142857142858,4.767857142857143,7.416666666666667,0.3461338868707836,-0.4885505497666719
2024-12-08,Arsenal,Fulham,A,D,5.0,4.33,1.6,1.0,1.85,2.05,1.8,2.0,1,1,0.0559468822170901,5.27973441108545,4.57225,1.689515011547344,0.3445692883895132,-0.14398126137715872
2024-12-14,Arsenal,Everton,H,D,1.22,6.5,12.0,-1.75,1.95,1.95,1.67,2.2,0,0,0.05685161832702823,1.2893589743589744,6.869535519125683,12.682219419924339,-0.5918858330143802,-0.735867094391539
2024-12-21,Arsenal,Crystal Palace,A,W,6.25,4.2,1.55,1.0,1.95,1.95,1.87,2.03,1,5,0.043256528417818796,6.520353302611367,4.38167741935484,1.617047619047619,-0.7755791985681615,-1.5114462929597003
2024-12-27,Arsenal,Ipswich,H,W,1.14,9.0,15.0,-2.25,2.04,1.89,1.4,3.0,1,0,0.054970760233918226,1.2026666666666668,9.494736842105265,15.824561403508774,0.3815890217327287,-1.1298572712269719
2025-01-01,Arsenal,Brentford,A,W,6.5,4.75,1.44,1.25,1.92,2.01,1.53,2.5,1,3,0.058816914080071836,6.882309941520467,5.0293803418803416,1.5246963562753035,0.1685144124168515,-0.9613428588101203
2025-01-04,Arsenal,Brighton,A,D,4.33,3.75,1.8,0.75,1.84,2.06,1.73,2.1,1,1,0.05316910443931233,4.560222222222222,3.949384141647421,1.895704387990762,0.34413170472650023,-0.61721115408362
2025-01-15,Arsenal,Tottenham,H,W,1.4,5.25,7.0,-1.25,1.85,2.05,1.44,2.75,2,1,0.04761904761904767,1.4666666666666668,5.500000000000001,7.333333333333334,-0.5275084060230983,-1.1447195601067184
2025-01-18,Arsenal,Aston Villa,H,D,1.5,4.1,7.0,-1.0,1.87,2.03,1.87,2.03,2,2,0.05342624854819977,1.5801393728222999,4.319047619047619,7.373983739837398,0.31818181818181823,-0.8265377419249001
2025-01-25,Arsenal,Wolves,A,W,7.0,4.5,1.45,1.25,1.85,2.05,1.73,2.1,0,1,0.054734537493158264,7.383141762452108,4.746305418719213,1.5293650793650795,-0.6328555678059536,-1.4593933097308538
2025-02-02,Arsenal,Man City,H,W,1.95,3.5,4.0,-0.5,1.99,1.91,1.73,2.1,5,1,0.048534798534798584,2.044642857142857,3.669871794871795,4.194139194139194,0.3461338868707836,-1.1132594228600703
