Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2025-08-17,Angers,Paris FC,H,W,2.63,3.2,2.8,0.0,1.88,1.98,2.2,1.67,1,0,0.049870994024986404,2.761160714285714,3.3595871808799562,2.9396387832699618,0.0,0.0
2025-08-22,Angers,Paris SG,A,L,1.08,12.0,21.0,-2.75,1.93,1.93,1.25,4.0,1,0,0.05687830687830675,1.1414285714285715,12.68253968253968,22.194444444444443,0.6378334680679062,0.6378334680679062
2025-08-31,Angers,Rennes,H,D,3.4,3.5,2.1,0.25,2.03,1.83,2.05,1.8,1,1,0.056022408963585235,3.5904761904761897,3.6960784313725488,2.217647058823529,-0.04505632040050063,0.5927771476674055
2025-08-17,Auxerre,Lorient,H,W,2.38,3.3,3.0,-0.25,2.05,1.8,1.9,1.95,1,0,0.05653170359052706,2.514545454545454,3.486554621848739,3.1695951107715814,0.0,0.0
2025-08-23,Auxerre,Nice,A,L,1.62,4.2,5.0,-0.75,1.83,2.03,1.73,2.08,3,1,0.0553791887125219,1.7097142857142855,4.432592592592592,5.276895943562609,0.6023138105567606,0.6023138105567606
2025-08-30,Auxerre,Nantes,A,L,2.2,3.4,3.25,-0.25,1.93,1.93,2.2,1.67,1,0,0.05635540929658589,2.3239819004524893,3.591608391608392,3.433155080213904,-0.18950534759358292,0.41280846296317764
2025-08-17,Brest,Lille,H,D,3.3,3.4,2.2,0.25,1.93,1.93,1.9,1.95,3,3,0.051693404634581164,3.4705882352941178,3.575757575757576,2.3137254901960786,0.0,0.0
2025-08-24,Brest,Toulouse,A,L,2.1,3.6,3.3,-0.25,1.83,2.03,1.93,1.93,2,0,0.05699855699855694,2.2196969696969697,3.805194805194805,3.4880952380952377,-0.288135593220339,-0.288135593220339
2025-08-29,Brest,Lens,A,L,1.85,3.75,4.0,-0.5,1.85,2.0,1.8,2.0,3,1,0.05720720720720718,1.9558333333333335,3.964527027027027,4.228828828828829,-0.2866894197952219,-0.5748250130155609
2025-08-16,Le Havre,Monaco,A,L,1.33,5.25,8.0,-1.5,1.95,1.9,1.53,2.5,3,1,0.06735588972431072,1.4195833333333334,5.603618421052632,8.538847117794486,0.0,0.0
