Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2025-08-11,Amiens,Reims,H,D,4.33,3.3,1.73,0.5,2.05,1.75,2.1,1.7,2,2,0.11201186732831792,4.815011385531617,3.669639162183449,1.9237805304779898,0.0,0.0
2025-08-15,Amiens,Red Star,A,W,1.83,3.4,3.6,-0.5,1.88,1.93,2.1,1.7,1,3,0.1183435122682952,2.0465686274509807,3.8023679417122036,4.026036644165862,-0.20768382874542088,-0.20768382874542088
2025-08-22,Amiens,Annecy,H,L,2.55,3.0,2.8,0.0,1.8,2.0,2.35,1.57,0,1,0.08263305322128867,2.7607142857142857,3.247899159663866,3.031372549019608,0.7516167664670659,0.543932937721645
2025-08-29,Amiens,Montpellier,A,D,1.5,4.2,5.5,-1.0,1.83,1.98,1.8,2.0,1,1,0.08658008658008653,1.62987012987013,4.5636363636363635,5.976190476190475,-0.36222509702457956,0.18170784069706541
2025-08-09,Annecy,Pau FC,A,L,2.3,3.2,2.75,-0.25,2.08,1.73,1.98,1.83,2,0,0.11091897233201586,2.5551136363636364,3.554940711462451,3.055027173913044,0.0,0.0
2025-08-16,Annecy,Dunkerque,H,D,2.8,3.25,2.2,0.25,1.8,2.0,2.2,1.65,2,2,0.1193806193806195,3.1342657342657345,3.637987012987013,2.4626373626373628,-0.3273293306648877,-0.3273293306648877
2025-08-22,Annecy,Amiens,A,W,2.55,3.0,2.8,0.0,1.8,2.0,2.35,1.57,0,1,0.08263305322128867,2.7607142857142857,3.247899159663866,3.031372549019608,-0.3190539937527889,-0.6463833244176767
2025-08-29,Annecy,Red Star,A,L,1.8,3.3,4.2,-0.5,1.83,1.98,2.2,1.65,1,0,0.0966810966810967,1.9740259740259742,3.6190476190476186,4.606060606060606,0.6701164294954722,0.02373310507779558
2025-08-15,Bastia,Pau FC,H,D,1.73,3.3,4.33,-0.5,1.78,2.03,2.03,1.78,1,1,0.11201186732831814,1.9237805304779902,3.6696391621834494,4.815011385531618,0.0,0.0
2025-08-22,Bastia,Le Mans,A,L,2.5,3.2,2.45,0.0,1.9,1.9,2.25,1.62,1,0,0.12066326530612237,2.801658163265306,3.5861224489795913,2.745625,-0.5198098141431632,-0.5198098141431632
2025-08-30,Bastia,Guingamp,H,L,2.1,3.25,3.25,-0.25,1.8,2.0,2.03,1.78,1,3,0.0915750915750917,2.2923076923076926,3.547619047619048,3.547619047619048,-0.36421579786023217,-0.8840256120033954
2025-08-15,Boulogne,Nancy,A,L,1.73,3.5,4.0,-0.5,1.78,2.03,2.15,1.67,1,0,0.1137489677952106,1.926785714285714,3.898121387283237,4.454995871180842,0.0,0.0
2025-08-29,Boulogne,Rodez,A,L,1.75,3.3,4.33,-0.5,1.83,1.98,1.88,1.93,1,0,0.10540575667596452,1.934460074182938,3.6478389970306826,4.786406926406927,-0.22446709916589433,-0.22446709916589433
2025-08-09,Clermont,Dunkerque,A,D,2.1,3.1,3.2,-0.25,1.9,1.9,2.15,1.67,2,2,0.11127112135176653,2.33366935483871,3.4449404761904763,3.556067588325653,0.0,0.0
2025-08-15,Clermont,Troyes,H,D,2.5,3.2,2.5,0.0,1.9,1.9,2.05,1.75,0,0,0.11250000000000004,2.78125,3.5600000000000005,2.78125,-0.2812095032397408,-0.2812095032397408
2025-08-22,Clermont,Grenoble,H,W,2.15,3.2,3.25,-0.25,1.88,1.93,2.03,1.78,2,1,0.08530858676207509,2.3334134615384614,3.47298747763864,3.5272529069767438,-0.3595505617977528,-0.6407600650374936
2025-08-29,Clermont,Laval,A,D,2.05,3.25,3.4,-0.5,2.05,1.75,2.03,1.78,0,0,0.08961483279991178,2.233710407239819,3.5412482065997133,3.7046904315197,0.5714432883486144,-0.06931677668887926
2025-08-09,Dunkerque,Clermont,H,D,2.1,3.1,3.2,-0.25,1.9,1.9,2.15,1.67,2,2,0.11127112135176653,2.33366935483871,3.4449404761904763,3.556067588325653,0.0,0.0
