Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2022-08-13,Alaves,Leganes,A,W,2.62,3.25,2.7,0.0,1.9,1.95,2.35,1.57,1,2,0.05974206737565524,2.776524216524217,3.444161718970879,2.861303581914269,0.0,0.0
2022-08-19,Alaves,Mirandes,H,W,1.66,3.75,5.25,-0.75,1.88,1.98,2.0,1.85,1,0,0.059552495697074104,1.7588571428571427,3.9733218588640282,5.562650602409639,0.6505089476276473,0.6505089476276473
2022-08-28,Alaves,Ibiza,A,D,3.0,3.3,2.4,0.25,1.8,2.05,2.2,1.65,1,1,0.05303030303030298,3.159090909090909,3.4749999999999996,2.527272727272727,0.4314489928525016,1.081957940480149
2022-09-03,Alaves,Las Palmas,H,D,2.2,3.2,3.4,-0.25,1.9,1.95,2.1,1.7,1,1,0.06116310160427818,2.334558823529412,3.3957219251336905,3.6079545454545454,-0.3956834532374101,0.6862744872427389
2022-09-10,Alaves,Lugo,A,W,3.3,3.2,2.3,0.25,1.93,1.93,2.3,1.6,1,2,0.05031291172595509,3.466032608695652,3.3610013175230566,2.4157196969696964,-0.4283464566929133,0.2579280305498255
2022-09-18,Alaves,Huesca,H,W,2.0,3.25,4.2,-0.5,2.0,1.85,2.1,1.7,2,1,0.04578754578754585,2.0915750915750917,3.3988095238095237,4.392307692307693,0.5860446883575068,0.8439727189073323
2022-09-26,Alaves,Cartagena,A,D,2.6,3.3,2.7,0.0,1.88,1.98,2.05,1.8,1,1,0.058016058016058025,2.7508417508417513,3.491452991452991,2.856643356643357,0.521891418563923,1.3658641374712552
2022-10-02,Alaves,Ponferradina,H,W,1.9,3.4,4.2,-0.5,1.95,1.9,2.1,1.7,3,1,0.0585286746277458,2.011204481792717,3.5989974937343354,4.445820433436532,-0.3500611995104039,1.0158029379608513
2022-10-08,Alaves,Burgos,A,L,2.9,3.1,2.5,0.0,2.13,1.75,2.5,1.5,3,0,0.06740823136818674,3.0954838709677417,3.308965517241379,2.6685205784204666,0.5027855153203342,1.5185884532811855
2022-10-12,Alaves,Albacete,H,D,2.1,3.3,3.6,-0.25,1.8,2.05,2.1,1.7,0,0,0.05699855699855716,2.21969696969697,3.488095238095238,3.8051948051948057,-0.3747394747811589,1.1438489785000265
2022-10-15,Alaves,Andorra,A,W,2.75,3.1,2.7,0.0,1.95,1.9,2.4,1.53,0,1,0.056587379168024476,2.905615292712067,3.275420875420876,2.8527859237536664,-0.4505119453924914,0.6933370331075352
2022-10-22,Alaves,Sp Gijon,H,D,2.2,3.1,3.75,-0.25,1.9,1.95,2.25,1.61,0,0,0.04379276637341145,2.296344086021505,3.235757575757576,3.914222873900293,0.6494654605263159,1.3428024936338512
2022-10-29,Alaves,Oviedo,H,W,2.2,2.9,4.0,-0.25,1.85,2.0,2.87,1.4,2,1,0.04937304075235116,2.308620689655173,3.0431818181818184,4.197492163009405,-0.4354748080164826,0.9073276856173687
2022-11-01,Alaves,Santander,A,D,2.62,3.0,2.87,0.0,1.9,1.95,2.6,1.47,1,1,0.06344477839543927,2.786225319396051,3.1903343351863183,3.052086513994911,0.5668409260642271,1.4741686116815957
2022-11-04,Alaves,Zaragoza,H,W,2.1,3.1,4.0,-0.25,1.8,2.05,2.87,1.4,1,0,0.04877112135176653,2.20241935483871,3.251190476190476,4.195084485407066,-0.3276447097468048,1.146523901934791
2022-11-20,Alaves,Eibar,A,D,2.0,3.25,4.0,-0.5,2.0,1.85,2.4,1.53,0,0,0.05769230769230771,2.1153846153846154,3.4375,4.230769230769231,0.5459538630538265,1.6924777649886176
