Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2024-08-10,AZ Alkmaar,Almere City,A,W,5.75,4.0,1.6,1.0,1.85,2.05,1.7,2.1,0,1,0.048913043478260754,6.03125,4.195652173913043,1.678260869565217,0.0,0.0
2024-08-17,AZ Alkmaar,Nijmegen,H,W,1.48,4.5,6.25,-1.25,2.07,1.83,1.57,2.35,1,0,0.0578978978978979,1.5656888888888891,4.760540540540541,6.611861861861862,0.40414507772020714,0.40414507772020714
2024-08-25,AZ Alkmaar,Groningen,A,D,3.7,3.7,1.95,0.5,1.91,1.99,1.7,2.1,0,0,0.053361053361053346,3.897435897435898,3.897435897435898,2.054054054054054,0.3613035085727263,0.7654485862929334
2024-08-30,AZ Alkmaar,Waalwijk,A,W,7.5,4.5,1.44,1.25,1.95,1.95,1.62,2.25,0,3,0.04999999999999982,7.874999999999999,4.725,1.5119999999999998,-0.4868421052631579,0.27860648102977553
2024-09-14,AZ Alkmaar,Heerenveen,H,W,1.42,4.75,7.5,-1.25,1.91,1.99,1.57,2.35,9,1,0.048085001235483205,1.488280701754386,4.978403755868546,7.860637509266124,0.3386243386243385,0.6172308196541141
2024-09-20,AZ Alkmaar,Zwolle,A,W,6.5,5.0,1.42,1.25,1.95,1.95,1.53,2.4,1,2,0.05807150595882993,6.877464788732394,5.290357529794149,1.5024615384615385,0.3280837419841569,0.945314561638271
2024-09-29,AZ Alkmaar,Utrecht,H,L,1.62,4.1,5.25,-1.0,2.06,1.84,1.7,2.1,1,2,0.05166258011786473,1.703693379790941,4.311816578483245,5.52122854561879,0.33442555805857055,1.2797401196968414
2024-10-06,AZ Alkmaar,For Sittard,A,L,6.25,3.8,1.57,1.0,1.85,2.05,1.83,2.03,1,0,0.060100569896077705,6.625628561850485,4.0283821656050955,1.664357894736842,-0.5869600785340313,0.6927800411628102
2024-10-19,AZ Alkmaar,PSV Eindhoven,H,L,4.33,4.0,1.75,0.75,1.9,2.0,1.6,2.3,1,2,0.05237545364566154,4.556785714285715,4.209501814582646,1.8416570438799076,-0.6008323108643131,0.09194773029849712
2024-10-27,AZ Alkmaar,Go Ahead Eagles,H,D,1.53,4.2,6.0,-1.0,1.91,1.99,1.67,2.15,2,2,0.05835667600373484,1.6192857142857142,4.4450980392156865,6.3501400560224095,-0.21945293518300804,-0.12750520488451092
2024-11-02,AZ Alkmaar,Feyenoord,A,L,1.67,3.8,5.25,-0.75,1.87,2.03,1.7,2.1,3,2,0.052436480422613396,1.7575689223057642,3.9992586256059313,5.525291522218721,-0.6175562417291575,-0.7450614466136684
2024-11-10,AZ Alkmaar,Willem II,H,L,1.48,4.2,7.0,-1.25,2.05,1.75,1.75,2.05,1,2,0.05662805662805659,1.5638095238095238,4.437837837837838,7.396396396396396,-0.1809859255351006,-0.926047372148769
2024-11-24,AZ Alkmaar,Sparta Rotterdam,A,W,3.6,3.4,2.05,0.5,1.82,2.08,1.83,2.03,1,2,0.05970030288538175,3.814921090387374,3.602981029810298,2.1723856209150325,-0.6394640682095006,-1.5655114403582697
2024-12-01,AZ Alkmaar,Heracles,H,W,1.33,5.25,8.5,-1.5,2.0,1.9,1.53,2.4,1,0,0.06000294854784016,1.4098039215686275,5.565015479876162,9.010025062656641,0.53967657013915,-1.0258348702191196
2024-12-08,AZ Alkmaar,Ajax,H,W,3.1,3.6,2.2,0.25,1.95,1.95,1.73,2.08,2,1,0.054903877484522745,3.2702020202020203,3.7976539589442813,2.32078853046595,0.2906815020862309,-0.7351533681328887
2024-12-15,AZ Alkmaar,NAC Breda,A,W,3.75,3.5,2.0,0.5,1.85,2.05,1.93,1.93,1,2,0.05238095238095242,3.9464285714285716,3.6833333333333336,2.104761904761905,0.6942084942084943,-0.04094487392439439
2024-12-21,AZ Alkmaar,Twente,H,W,2.35,3.75,2.8,-0.25,2.08,1.82,1.85,2.0,1,0,0.04934143870314078,2.465952380952381,3.935030395136778,2.938156028368794,0.5248868778280543,0.48394200390365993
2025-01-11,AZ Alkmaar,PSV Eindhoven,A,D,1.36,5.25,7.5,-1.5,2.01,1.89,1.44,2.7,2,2,0.059103641456582645,1.4403809523809525,5.560294117647059,7.943277310924369,0.5944771652022787,1.0784191691059386
2025-01-18,AZ Alkmaar,Utrecht,A,D,2.88,3.3,2.45,0.0,2.09,1.81,1.75,2.05,0,0,0.05841579055864776,3.048237476808906,3.4927721088435373,2.5931186868686873,-0.12589262099973553,0.9525265481062031
2025-01-26,AZ Alkmaar,Sparta Rotterdam,H,L,1.57,4.0,6.0,-1.0,2.05,1.85,1.8,2.0,1,2,0.05360934182590227,1.6541666666666666,4.214437367303609,6.321656050955414,-0.38563603164942173,0.5668905164567813
