Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2023-08-13,Arouca,Estoril,H,W,2.05,3.2,3.4,-0.25,1.86,2.04,2.3,1.6,4,3,0.09442252510760407,2.2435661764705883,3.502152080344333,3.721036585365854,0.0,0.0
2023-08-20,Arouca,Vizela,A,D,2.15,3.25,3.4,-0.25,1.87,2.03,2.15,1.67,2,2,0.06692623382089868,2.2938914027149324,3.4675102599179204,3.6275491949910554,0.5542810323637853,0.5542810323637853
2023-08-26,Arouca,Portimonense,H,D,1.62,3.8,5.25,-0.75,1.84,2.06,1.95,1.9,1,1,0.07091803583031653,1.7348872180451127,4.069488536155203,5.622319688109162,-0.27566821185521256,0.2786128205085728
2023-09-03,Arouca,Porto,A,D,1.25,6.0,10.0,-1.75,2.04,1.86,1.53,2.4,1,1,0.06666666666666665,1.3333333333333333,6.4,10.666666666666666,-0.5764063448036751,-0.29779352429510236
2023-09-17,Arouca,Casa Pia,H,L,2.3,3.25,3.1,-0.25,2.06,1.84,2.15,1.67,0,1,0.0650555615492503,2.4496277915632754,3.461430575035063,3.301672240802676,-0.09375,-0.39154352429510236
2023-09-22,Arouca,Famalicao,A,L,2.0,3.3,3.8,-0.5,2.0,1.85,2.15,1.67,1,0,0.06618819776714502,2.13237639553429,3.5184210526315787,4.051515151515151,-0.40822528363047,-0.7997688079255724
2023-10-01,Arouca,Chaves,H,L,1.8,3.6,4.2,-0.75,2.09,1.81,1.93,1.93,0,2,0.0714285714285714,1.9285714285714282,3.8571428571428563,4.5,-0.24682124158563953,-1.046590049511212
2023-10-08,Arouca,Sp Lisbon,A,L,1.22,5.0,11.0,-1.75,1.99,1.91,1.6,2.3,2,1,0.11058122205663179,1.3549090909090908,5.552906110283159,12.216393442622948,-0.5185185185185186,-1.5651085680297305
2023-10-27,Arouca,Moreirense,H,L,2.5,3.2,2.88,0.0,1.85,2.05,2.1,1.7,0,1,0.05972222222222223,2.6493055555555554,3.3911111111111114,3.0520000000000005,-0.08185721953837898,-1.6469657875681094
2023-11-06,Arouca,Farense,A,L,2.2,3.3,3.2,-0.25,1.94,1.96,2.05,1.75,2,0,0.07007575757575757,2.3541666666666665,3.53125,3.4242424242424243,-0.3774574049803408,-2.02442319254845
2023-11-12,Arouca,Sp Braga,H,L,5.0,4.2,1.6,1.0,1.82,2.08,1.6,2.3,0,1,0.0630952380952381,5.31547619047619,4.465,1.700952380952381,-0.2920353982300885,-2.316458590778539
2023-12-03,Arouca,Boavista,A,W,2.1,3.3,3.25,-0.25,1.89,2.01,2.05,1.75,0,4,0.08691308691308697,2.2825174825174828,3.5868131868131865,3.5324675324675328,-0.18812989921612544,-2.5045884899946644
2023-12-10,Arouca,Rio Ave,H,D,2.15,3.2,3.5,-0.25,1.88,2.02,2.15,1.67,2,2,0.06333056478405297,2.286160714285714,3.4026578073089695,3.721656976744186,0.7169117647058824,-1.787676725288782
2023-12-16,Arouca,Gil Vicente,H,W,1.95,3.3,4.0,-0.5,1.99,1.91,2.05,1.8,3,0,0.06585081585081598,2.078409090909091,3.517307692307693,4.263403263403264,-0.4374145674672916,-2.2250912927560735
