Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2021-07-31,Airdrie Utd,Montrose,H,L,2.05,3.25,3.2,-0.25,1.93,1.93,1.85,1.95,0,3,0.10799718574108819,2.2713942307692307,3.600990853658536,3.545590994371482,0.0,0.0
2021-08-07,Airdrie Utd,Dumbarton,A,D,2.5,3.4,2.4,0.0,1.95,1.9,1.8,2.0,2,2,0.11078431372549025,2.7769607843137254,3.7766666666666664,2.6658823529411766,-0.44025822838395595,-0.44025822838395595
2021-08-14,Airdrie Utd,Falkirk,H,L,3.5,3.4,1.85,0.5,1.85,2.0,1.93,1.93,1,2,0.12037247331364975,3.9213036565977744,3.8092664092664092,2.0726890756302523,-0.37511032656663723,-0.8153685549505931
2021-08-21,Airdrie Utd,Peterhead,A,W,2.62,3.3,2.62,0.0,1.93,1.93,2.05,1.75,2,3,0.06638908165625712,2.793939393939394,3.519083969465648,2.793939393939394,-0.2550172308939793,-1.0703857858445724
2021-09-11,Airdrie Utd,Queens Park,A,D,1.66,3.75,4.33,-0.75,1.98,1.88,1.9,1.95,0,0,0.10002318743797378,1.8260384911470364,4.125086952892402,4.763100401606426,0.6420824295010845,-0.42830335634348793
2021-09-14,Airdrie Utd,Alloa,H,W,2.25,3.4,2.7,-0.25,2.02,1.83,2.0,1.8,2,1,0.10893246187363825,2.4950980392156863,3.7703703703703697,2.994117647058823,-0.20994728552493566,-0.6382506418684236
2021-09-18,Airdrie Utd,East Fife,H,W,1.9,3.4,3.4,-0.5,1.9,1.95,1.95,1.85,3,0,0.11455108359133126,2.1176470588235294,3.789473684210526,3.789473684210526,0.5992141453831041,-0.03903649648531948
2021-09-25,Airdrie Utd,Cove Rangers,A,L,1.8,3.75,3.75,-0.5,1.88,1.98,1.85,1.95,1,0,0.0888888888888888,1.96,4.083333333333333,4.083333333333333,0.5277777777777778,0.4887412812924583
2021-10-02,Airdrie Utd,Clyde,H,W,1.8,3.5,3.8,-0.5,1.93,1.93,1.72,2.07,2,1,0.10442773600668342,1.98796992481203,3.865497076023392,4.196825396825397,-0.2448979591836735,0.24384332210878482
2021-10-16,Airdrie Utd,Falkirk,A,W,1.95,3.4,3.25,-0.5,1.95,1.9,1.8,2.0,0,3,0.11463046757164408,2.1735294117647057,3.78974358974359,3.6225490196078427,0.49697428139183053,0.7408176035006153
2021-10-23,Airdrie Utd,Dumbarton,H,W,1.72,3.5,4.5,-0.75,2.02,1.83,1.72,2.07,3,2,0.08933185677371736,1.8736507936507938,3.8126614987080107,4.9019933554817285,0.7239512855209742,1.4647688890215895
2021-10-30,Airdrie Utd,Alloa,A,L,2.5,3.5,2.37,0.0,1.95,1.9,1.9,1.9,2,1,0.10765521398432787,2.7691380349608194,3.8767932489451478,2.6251428571428574,0.4662826160623518,1.9310515050839414
2021-11-06,Airdrie Utd,Peterhead,H,W,1.8,3.4,4.2,-0.5,1.88,1.98,1.72,2.07,3,1,0.08776844070961731,1.9579831932773109,3.698412698412699,4.568627450980393,-0.3809316499782324,1.550119855105709
2021-11-13,Airdrie Utd,East Fife,A,W,3.75,3.5,1.83,0.5,1.93,1.93,1.65,2.2,0,1,0.09882903981264635,4.120608899297424,3.845901639344262,2.010857142857143,0.4892703862660944,2.0393902413718035
