Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2022-08-13,Atalanta,Sampdoria,A,W,4.33,3.9,1.75,0.75,1.9,2.0,1.72,2.1,0,2,0.05878571005591793,4.584542124542125,4.12926426921808,1.8528749925978565,0.0,0.0
2022-08-21,Atalanta,Milan,H,D,2.75,3.5,2.5,0.25,1.7,2.1,1.72,2.1,1,1,0.049350649350649256,2.8857142857142857,3.6727272727272724,2.623376623376623,0.460298183096566,0.460298183096566
2022-08-28,Atalanta,Verona,A,W,4.2,4.0,1.75,0.75,1.9,2.0,1.66,2.2,0,1,0.059523809523809534,4.45,4.238095238095238,1.8541666666666667,-0.34653465346534656,0.11376352963121944
2022-09-01,Atalanta,Torino,H,W,1.72,3.75,5.25,-0.75,1.88,2.02,1.72,2.1,3,1,0.03853820598006652,1.7862857142857143,3.894518272425249,5.45232558139535,0.4606741573033708,0.5744376869345902
2022-09-05,Atalanta,Monza,A,W,5.75,4.2,1.57,1.0,1.9,2.0,1.66,2.2,0,2,0.04895095673273464,6.0314680012132245,4.405594018277486,1.6468530020703935,0.4401791426743442,1.0146168296089344
2022-09-11,Atalanta,Cremonese,H,D,1.3,5.5,9.5,-1.5,1.95,1.95,1.57,2.37,1,1,0.05631210894368799,1.3732057416267944,5.809716599190284,10.034965034965037,0.39278126296468585,1.4073980925736203
2022-09-18,Atalanta,Roma,A,W,2.05,3.5,3.5,-0.5,2.06,1.84,1.87,2.03,0,1,0.059233449477352096,2.1714285714285713,3.7073170731707323,3.7073170731707323,-0.7282229965156793,0.679175096057941
2022-10-02,Atalanta,Fiorentina,H,W,1.95,3.5,4.0,-0.5,1.97,1.93,1.92,1.98,1,0,0.048534798534798584,2.044642857142857,3.669871794871795,4.194139194139194,0.730263157894737,1.409438253952678
2022-10-09,Atalanta,Udinese,A,D,2.5,3.4,2.75,0.0,1.86,2.04,1.88,2.02,2,2,0.05775401069518704,2.6443850267379676,3.5963636363636358,2.9088235294117646,0.5109170305676856,1.9203552845203635
2022-10-15,Atalanta,Sassuolo,H,W,1.65,4.0,5.0,-0.75,1.85,2.05,1.66,2.2,2,1,0.056060606060606144,1.7425000000000002,4.224242424242425,5.28030303030303,-0.3437815975733064,1.5765736869470572
2022-10-23,Atalanta,Lazio,H,L,1.95,3.5,4.0,-0.5,1.99,1.91,1.72,2.1,0,2,0.048534798534798584,2.044642857142857,3.669871794871795,4.194139194139194,0.42611190817790534,2.0026855951249622
2022-10-30,Atalanta,Empoli,A,W,4.33,3.8,1.8,0.75,1.83,2.07,1.8,2.0,0,2,0.04966033250948776,4.545029239766082,3.9887092635360535,1.8893885985170777,-0.4890829694323144,1.513602625692648
2022-11-05,Atalanta,Napoli,H,L,3.3,3.6,2.15,0.25,2.06,1.84,1.66,2.2,1,2,0.045924359877848264,3.4515503875968987,3.765327695560254,2.2487373737373737,0.47072825527534734,1.9843308809679954
2022-11-09,Atalanta,Lecce,A,L,4.75,3.5,1.8,0.75,1.85,2.05,2.06,1.84,2,1,0.05179615705931484,4.996031746031746,3.681286549707602,1.8932330827067665,-0.28972487366647953,1.694606007301516
2022-11-13,Atalanta,Inter,H,L,3.1,3.75,2.2,0.25,1.91,1.99,1.72,2.1,2,3,0.04379276637341145,3.235757575757576,3.914222873900293,2.296344086021505,-0.5281969817315331,1.1664090255699828
2023-01-04,Atalanta,Spezia,A,D,4.75,3.8,1.67,0.75,2.0,1.9,1.73,2.1,2,2,0.0724866057358966,5.094311377245509,4.075449101796408,1.791052631578947,-0.3090466379471811,0.8573623876228017
2023-01-09,Atalanta,Bologna,A,W,3.4,3.4,2.15,0.25,2.01,1.89,1.92,1.98,1,2,0.05335157318741457,3.5813953488372094,3.5813953488372094,2.264705882352941,-0.5583308845136645,0.2990315031091372
2023-01-15,Atalanta,Salernitana,H,W,1.4,5.0,7.0,-1.25,1.84,2.09,1.57,2.38,8,2,0.05714285714285716,1.48,5.285714285714286,7.400000000000001,0.5584415584415584,0.8574730615506956
2023-01-22,Atalanta,Juventus,A,D,2.1,3.4,3.5,-0.25,1.85,2.05,2.05,1.85,3,3,0.056022408963585235,2.217647058823529,3.5904761904761897,3.6960784313725488,0.32432432432432434,1.18179738587502
2023-01-28,Atalanta,Sampdoria,H,W,1.33,5.25,9.0,-1.5,2.01,1.89,1.67,2.2,2,0,0.053467000835421885,1.401111111111111,5.530701754385965,9.481203007518797,-0.27055702917771884,0.9112403566973011
2023-02-04,Atalanta,Sassuolo,A,L,3.75,3.6,1.91,0.5,1.95,1.98,1.57,2.38,1,0,0.06800465386852839,4.005017452006982,3.8448167539267017,2.0398888888888895,0.28628072957969863,1.1975210862769998
2023-02-11,Atalanta,Lazio,A,W,2.38,3.4,3.0,-0.25,2.09,1.84,1.9,2.0,0,2,0.04761904761904767,2.493333333333333,3.5619047619047617,3.1428571428571432,-0.4902227790184649,0.7072983072585348
2023-02-19,Atalanta,Lecce,H,L,1.5,4.0,7.0,-1.0,1.86,2.04,1.88,2.02,1,2,0.059523809523809534,1.5892857142857144,4.238095238095238,7.416666666666667,0.6818181818181819,1.3891164890767167
2023-02-26,Atalanta,Milan,A,L,2.15,3.4,3.4,-0.25,1.9,2.0,1.94,1.96,2,0,0.05335157318741457,2.264705882352941,3.5813953488372094,3.5813953488372094,-0.6292134831460674,0.7599030059306493
2023-03-04,Atalanta,Udinese,H,D,1.62,4.0,5.5,-0.75,1.85,2.05,1.73,2.1,0,0,0.049102132435465684,1.6995454545454547,4.196408529741863,5.770061728395061,-0.2792207792207792,0.4806822267098701
2023-03-11,Atalanta,Napoli,A,L,1.67,4.0,5.0,-0.75,1.87,2.06,1.8,2.0,2,0,0.04880239520958085,1.7515,4.195209580838323,5.244011976047904,-0.5883926183471516,-0.10771039163728152
2023-03-17,Atalanta,Empoli,H,W,1.4,4.5,7.5,-1.25,1.97,1.96,1.67,2.2,2,1,0.06984126984126982,1.4977777777777777,4.814285714285715,8.023809523809524,-0.19069369112189552,-0.29840408275917707
2023-04-01,Atalanta,Cremonese,A,W,5.5,3.8,1.67,0.75,2.04,1.86,1.84,2.06,1,3,0.04377847176460481,5.740781594705326,3.9663581927054987,1.74311004784689,0.33234421364985156,0.03394013089067449
