Date,Team,Opponent,Home/Away,Result,Home Odds,Draw Odds,Away Odds,AHh,B365AHH,B365AHA,B365>2.5,B365<2.5,FTHG,FTAG,Bookmaker Margin,Fair Odds(H),Fair Odds(D),Fair Odds(A),Risk Score,Cumulative Score
2022-08-07,Ad. Demirspor,Giresunspor,A,W,2.87,3.4,2.2,0.25,1.85,2.0,1.8,2.0,2,3,0.0970951573534069,3.1486631016042783,3.7301235350015833,2.4136093461774952,0.0,0.0
2022-08-13,Ad. Demirspor,Sivasspor,H,W,1.9,3.6,4.0,-0.5,1.93,1.93,1.85,2.0,3,0,0.05409356725146197,2.0027777777777778,3.794736842105263,4.216374269005848,0.5856827445652173,0.5856827445652173
2022-08-22,Ad. Demirspor,Fenerbahce,A,L,1.7,4.0,4.5,-0.75,1.93,1.93,1.53,2.4,4,2,0.06045751633986929,1.8027777777777776,4.241830065359477,4.772058823529412,0.5006934812760055,1.0863762258412228
2022-08-27,Ad. Demirspor,Umraniyespor,H,W,1.55,4.33,5.75,-1.0,1.9,1.95,1.61,2.25,1,0,0.050021216017931636,1.6275328848277941,4.5465918653576445,6.037621992103107,-0.20955315870570107,0.8768230671355217
2022-09-04,Ad. Demirspor,Hatayspor,A,D,2.9,3.3,2.25,0.25,1.88,1.98,1.7,2.1,1,1,0.09230233368164398,3.167676767676767,3.604597701149425,2.457680250783699,0.3855730908283258,1.2623961579638476
2022-09-12,Ad. Demirspor,Trabzonspor,H,W,2.2,3.6,3.0,-0.25,1.95,1.9,1.8,2.0,3,2,0.06565656565656552,2.3444444444444446,3.836363636363636,3.196969696969697,-0.40688775510204084,0.8555084028618067
2022-09-17,Ad. Demirspor,Antalyaspor,A,W,2.05,3.8,3.3,-0.25,1.85,2.0,1.72,2.07,0,3,0.05399307581592572,2.1606858054226477,4.005173688100518,3.478177150192555,0.5734597156398105,1.4289681185016172
2022-10-01,Ad. Demirspor,Galatasaray,H,D,2.55,3.3,2.5,0.0,1.95,1.9,1.7,2.1,0,0,0.0951871657754011,2.7927272727272725,3.6141176470588237,2.7379679144385025,0.7124930799040414,2.1414611984056586
2022-10-07,Ad. Demirspor,Gaziantep,A,D,2.8,3.5,2.25,0.25,1.85,2.0,1.7,2.1,1,1,0.08730158730158721,3.044444444444444,3.8055555555555554,2.4464285714285716,-0.3580729166666667,1.7833882817389919
2022-10-15,Ad. Demirspor,Kasimpasa,A,W,3.0,3.5,2.2,0.25,1.93,1.93,1.66,2.15,1,4,0.07359307359307365,3.2207792207792214,3.757575757575758,2.361904761904762,-0.4087591240875912,1.3746291576514007
